#ObservationID, RA, DEC
A02_006T01_9000000776, 3:33:36.372, -36:8:25.440
A02_006T01_9000000802, 3:33:36.372, -36:8:25.440
A02_006T01_9000000934, 3:33:36.372, -36:8:25.440
A02_024T01_9000001044, 12:25:46.747, 12:39:43.524
A02_027T01_9000001084, 16:57:49.810, 35:20:32.399
A02_028T01_9000000724, 0:42:50.57, 41:15:00.82
A02_028T03_9000000788, 0:44:08.88, 41:33:26.45
A02_031T01_9000001014, 13:16:27.09, +17:42:00.9
A02_046T01_9000000814, 08:18:09.7, +70:41:51.5
A02_046T01_9000000864, 08:18:09.7, +70:41:51.5
A02_058T02_9000001030, 12:19:30.582, 14:52:39.780
A02_058T03_9000000856, 4:9:51.852, -56:7:6.390
A02_070T01_9000000832, 23:4:43.49, -8:41:8.52
A02_073T02_9000000982, 11:43:13.09, +20:00:17.36
A02_075T01_9000000906, 8:14:40.116, 49:3:42.156
A02_075T02_9000000940, 10:39:9.458, 41:41:12.048
A02_075T05_9000000920, 8:26:4.387, 45:58:3.504
A02_077T01_9000000732, 18:01:12.40, -25:44:36.10
A02_082T01_9000000898, 05:06:49.91, -21:35:09.23
A02_085T02_9000000808, 7:10:30.078, 59:8:20.500
A02_086T01_9000000714, 17:43:54.830, -29:44:42.601
A02_090T01_9000000778, 5:34:31.940, 22:0:52.200
A02_090T01_9000000970, 5:34:31.940, 22:0:52.200
A02_090T02_9000000956, 12:13:55.2, 22:48:0.0
A02_103T01_9000000904, 10:23:30.570, 19:51:54.299
A02_103T01_9000000950, 10:23:30.570, 19:51:54.299
A02_114T01_9000000764, 2:10:46.200, -51:1:1.884
A02_124T01_9000000842, 03:35:36, -54:03:00
A02_132T01_9000001068, 17:28:20, -14:15:52
A02_132T01_9000001072, 17:28:20, -14:15:52
A02_132T01_9000001212, 17:28:20, -14:15:52
A02_149T01_9000000740, 22:53:57.748, 16:8:53.561
A02_150T01_9000000738, 23:08:26.63, -15:36:41.4
A02_150T03_9000001018, 12:39:27.98, -26:44:38.6
A02_150T04_9000001022, 14:05:27.29, 28:32:04.0
A02_151T01_9000000818, 2:34:22.567, -43:47:46.877
A02_152T01_9000000806, 5:23:50.31, -24:22:2.80
A02_155T01_9000000966, 13:35:53.707, -34:17:43.944
A02_155T01_9000000994, 13:35:53.707, -34:17:43.944
A02_155T01_9000001062, 13:35:53.707, -34:17:43.944
A02_165T03_9000001032, 12:28:15.235, 44:27:11.304
A02_165T03_9000001098, 12:28:15.235, 44:27:11.304
A02_165T04_9000000712, 22:31:51.247, 19:41:28.968
A02_165T06_9000000952, 10:23:32.616, 10:57:34.992
A02_170T02_9000000892, 00:51:00, +58:11:00
A02_170T03_9000000910, 04:38:06, +50:45:00
A02_173T01_9000000840, 01:23:19.51, +57:38:54.96
A02_173T03_9000000828, 02:21:59.15, +70:55:53
A02_174T01_9000000766, 22:42:39.309, +29:43:31.55
A02_174T04_9000000938, 12:18:26.484, +29:48:46.15
A02_178T01_9000001006, 13:49:19.267, -30:18:33.984
A02_178T01_9000001048, 13:49:19.267, -30:18:33.984
A02_178T01_9000001118, 13:49:19.267, -30:18:33.984
A02_178T01_9000001286, 13:49:19.267, -30:18:33.984
A02_178T01_9000001340, 13:49:19.267, -30:18:33.984
A02_191T01_9000000854, 14:12:53.92, 54:00:14.40
A02_191T02_9000000852, 14:17:21.79, 53:41:2.61
A02_197T01_9000000748, 00:40:02.57, +41:11:53.59
A02_197T02_9000000752, 00:40:09.40, +41:11:05.21
A02_197T05_9000000756, 00:41:17.84, +41:00:23.04
A02_199T01_9000000708, 19:59:59.852, 65:8:54.653
A02_199T01_9000000800, 19:59:59.852, 65:8:54.653
A03_005T01_9000001348, 16:57:49.810, 35:20:32.399
